ride_id,row_count,segment_count,start_time,end_time,elapsed_time,moving_time,distance,elapsed_ascent,elapsed_descent,max_speed,avg_speed,ride_cruise_speed,avg_power,ride_max_power,peak_20min_power,training_window_id,perceived_exertion,simple_exertion,perceived_relative_effort,ride_work
3806694608,6516,25,2020-07-23 22:44:24+00:00,2020-07-24 01:51:35+00:00,11290,6385,21.90332775,757.2548,757.911,27.066974850037205,12.12085349,14.56584744,105.411009,865.4272691,141.2794597,3,5.0,NORMAL,115.0,1190.0902916100001
3809576084,1852,5,2020-07-25 00:39:52+00:00,2020-07-25 01:12:46+00:00,2012,1834,6.55546405,120.0846,120.0846,26.3958924250186,12.79602445,15.46432612,116.5707827,649.9678177,131.9863872,3,7.0,HARD,58.0,234.54041479240001
3815541338,8743,23,2020-07-26 11:40:44+00:00,2020-07-26 15:35:02+00:00,14229,8631,26.25913846,841.2484,840.9203,25.948504850037203,10.83806733,13.49066208,85.46706247,705.2498984,136.726046,3,6.0,NORMAL,227.0,1216.1108318856302
3816918024,1872,13,2020-07-26 23:20:04+00:00,2020-07-27 00:10:16+00:00,3013,1832,4.8591212200000005,116.8036,118.4441,20.803542427255543,9.370461192,14.60681765,75.92164431,325.1593023,,3,6.0,NORMAL,48.0,228.75191430603002
3829974032,844,9,2020-07-28 21:52:40+00:00,2020-07-28 22:13:15+00:00,1284,821,2.24936302,59.058,58.4018,28.8565251499628,9.55326244,15.43556251,92.26538769,654.5260728,,3,6.0,NORMAL,21.0,118.46875779396001
3835655059,5202,12,2020-07-29 21:20:47+00:00,2020-07-29 23:04:21+00:00,6259,5114,19.89008571,708.3679,707.7117,29.3039148500372,13.77514291,16.14606013,137.0704436,1005.500648,186.2460011,3,8.0,HARD,220.0,857.9239064924001
3845870049,3265,14,2020-08-01 00:18:31+00:00,2020-08-01 01:24:26+00:00,3967,3247,11.89304094,335.9744,337.6149,52.7917848500372,12.8511415,17.0612801,405.4549146,245980.1331,153.6664341,3,6.0,NORMAL,85.0,1608.4396462181999
3850723804,2759,8,2020-08-01 23:34:16+00:00,2020-08-02 00:33:42+00:00,3565,2702,6.51196808,195.5476,195.5476,21.69831757274446,8.54179336,11.32441907,54.20432638,508.6811356,74.99768636,3,4.0,EASY,30.0,193.2384235447
3854038503,5498,20,2020-08-02 13:10:01+00:00,2020-08-02 15:12:03+00:00,7324,5437,15.26087176,466.2301,468.5268,53.4628651499628,9.73696925,16.32092618,501.8059796,190752.0173,1730.516353,3,,,,3675.2269945904004
3856128927,1906,6,2020-08-02 23:14:31+00:00,2020-08-03 00:07:04+00:00,3161,1821,6.39390759,165.3624,163.3938,92.3856202999256,12.160945,18.47961658,837.7122756,224373.8436,1282.434482,3,3.0,EASY,15.0,2648.0085031716003
3865916771,2119,13,2020-08-04 21:28:33+00:00,2020-08-04 22:15:56+00:00,2845,2107,5.12631075,90.5556,89.2432,23.0404824250186,8.657560556,14.40142784,68.12816346,406.9059971,,3,,,,193.8246250437
3870291831,2979,18,2020-08-05 20:13:05+00:00,2020-08-05 21:21:33+00:00,4109,2920,10.18427069,395.3605,396.0167,24.830034850037205,12.38541928,15.71171924,124.5668958,1469.015837,161.3230235,3,5.0,NORMAL,52.0,511.8453748422
3873464261,5562,38,2020-08-06 12:33:08+00:00,2020-08-06 14:37:32+00:00,7464,5390,17.75878318,327.1157,413.406,108.49159,9.937490576,19.1062971,65546.16146,129572835.9,302729.6595,3,6.0,NORMAL,142.0,489236.54913744004
3874203333,3353,16,2020-08-06 16:14:39+00:00,2020-08-06 17:28:20+00:00,4422,3270,3.64123406,106.3044,105.6482,40.26492,3.87373836,16.44847732,90.36409935,33129.41968,153.3395023,3,3.0,EASY,27.0,399.5900473257
3875911617,1159,11,2020-08-06 22:28:05+00:00,2020-08-06 23:46:19+00:00,4720,1141,3.16277839,78.4159,58.0737,29.751302425018604,9.914663097,15.00244795,94.0701933,615.1641047,,3,5.0,NORMAL,20.0,444.01131237600003
3888490329,1135,4,2020-08-09 13:01:14+00:00,2020-08-09 13:26:48+00:00,1540,1123,2.93287112,83.3374,100.7267,22.8167875749814,9.336950645,10.93574376,57.09202744,508.3812655,,3,2.0,EASY,5.0,87.92172225760001
